Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:09.836Z,28842.02,BTC,-1.794,BUY,28842.02,0,0,0,135.6587
2,2023-05-07T05:19:15.427Z,28834.85,BTC,-1.844,SELL,28834.85,0,-0.0249,-0.0249,135.6434
3,2023-05-07T05:26:22.806Z,28837.11,BTC,-1.774,BUY,28837.12,0,0,-0.0249,136.0386
4,2023-05-07T05:33:28.422Z,28889.04,BTC,-1.697,SELL,28884.34,0,0.1637,0.1389,136.0675
5,2023-05-07T05:40:37.294Z,28875.94,BTC,-1.687,BUY,28875.63,0,0,0.1389,136.1087
6,2023-05-07T05:47:43.245Z,28894.91,BTC,-1.535,SELL,28894.91,0,0.0668,0.2057,136.148
7,2023-05-07T05:54:51.028Z,28870.55,BTC,-1.655,BUY,28870.52,0,0,0.2057,136.0829
8,2023-05-07T06:01:57.033Z,28883.41,BTC,-1.561,SELL,28883.41,0,0.0446,0.2503,136.0977
9,2023-05-07T06:09:04.514Z,28896.9,BTC,-1.437,BUY,28896.89,0,0,0.2503,135.9407
10,2023-05-07T06:16:12.664Z,28894.8,BTC,-1.601,SELL,28894.8,0,-0.0072,0.2431,135.9324
11,2023-05-07T06:23:19.800Z,28916.37,BTC,-1.563,BUY,28916.37,0,0,0.2431,136.0706
12,2023-05-07T06:30:24.935Z,28874.24,BTC,-1.59,SELL,28874.3,0,-0.1455,0.0976,135.9957
13,2023-05-07T06:37:31.946Z,28876.77,BTC,-1.478,BUY,28876.76,0,0,0.0976,136.0204
14,2023-05-07T06:44:40.449Z,28907.98,BTC,-1.468,SELL,28907.97,0,0.1081,0.2057,136.0694
15,2023-05-07T06:51:48.472Z,28931.06,BTC,-1.456,BUY,28931.05,0,0,0.2057,136.2614
16,2023-05-07T06:58:54.679Z,28912.74,BTC,-1.597,SELL,28912.75,0,-0.0633,0.1424,136.2436
17,2023-05-07T07:06:02.024Z,28915.91,BTC,-1.551,BUY,28915.91,0,0,0.1424,136.234
18,2023-05-07T07:13:07.799Z,28922.36,BTC,-1.564,SELL,28922.36,0,0.0223,0.1647,136.1983
19,2023-05-07T07:20:17.744Z,28913.19,BTC,-1.628,BUY,28913.18,0,0,0.1647,136.4924
20,2023-05-07T07:27:26.029Z,28915.19,BTC,-1.64,SELL,28915.18,0,0.0069,0.1716,136.5138
21,2023-05-07T07:34:35.420Z,28910.22,BTC,-1.737,BUY,28909.97,0,0,0.1716,136.52
22,2023-05-07T07:41:44.854Z,28916.57,BTC,-1.622,SELL,28916.57,0,0.0228,0.1945,136.5689
23,2023-05-07T07:48:55.236Z,28922.55,BTC,-1.545,BUY,28922.56,0,0,0.1945,136.5915
24,2023-05-07T07:56:03.544Z,28911.12,BTC,-1.593,SELL,28911.13,0,-0.0395,0.1549,136.5668
25,2023-05-07T08:03:11.565Z,28930.01,BTC,-1.21,BUY,28930,0,0,0.1549,136.639
26,2023-05-07T08:10:18.176Z,28945.99,BTC,-1.03,SELL,28945.99,0,0.0553,0.2102,136.3199
27,2023-05-07T08:17:26.665Z,28946.2,BTC,-1.071,BUY,28946.2,0,0,0.2102,136.6668
28,2023-05-07T08:24:34.681Z,28929.17,BTC,-1.232,SELL,28929.16,0,-0.0589,0.1513,136.3099
29,2023-05-07T08:31:42.217Z,28908.2,BTC,-1.381,BUY,28908.19,0,0,0.1513,136.2698
30,2023-05-07T08:38:48.125Z,28860.62,BTC,-1.593,SELL,28859.9,0,-0.167,-0.0157,136.1527
31,2023-05-07T08:45:56.336Z,28859.76,BTC,-1.634,BUY,28857.78,0,0,-0.0157,135.8311
32,2023-05-07T08:53:02.593Z,28863.66,BTC,-1.597,SELL,28863.66,0,0.0204,0.0047,135.8472
33,2023-05-07T09:00:09.495Z,28857.07,BTC,-1.613,BUY,28857.06,0,0,0.0047,136.0363
34,2023-05-07T09:07:17.073Z,28840.98,BTC,-1.708,SELL,28840.98,0,-0.0557,-0.051,136.0828
35,2023-05-07T09:14:24.638Z,28827.68,BTC,-1.609,BUY,28827.7,0,0,-0.051,136.0102
36,2023-05-07T09:21:31.667Z,28784.04,BTC,-1.758,SELL,28784.79,0,-0.1488,-0.1999,135.9887
37,2023-05-07T09:28:40.335Z,28844.09,BTC,-1.572,BUY,28844.08,0,0,-0.1999,136.4801
38,2023-05-07T09:35:47.118Z,28873.31,BTC,-1.409,SELL,28880.14,0,0.125,-0.0749,136.4994
39,2023-05-07T09:42:56.400Z,28831.36,BTC,-1.703,BUY,28831.36,0,0,-0.0749,136.4252
40,2023-05-07T09:50:03.431Z,28804.16,BTC,-1.808,SELL,28804.15,0,-0.0944,-0.1693,136.2482
41,2023-05-07T09:57:11.843Z,28819.83,BTC,-1.669,BUY,28819.83,0,0,-0.1693,135.8537
42,2023-05-07T10:04:18.671Z,28830.09,BTC,-1.653,SELL,28830.09,0,0.0356,-0.1337,135.8655
43,2023-05-07T10:11:26.420Z,28809.09,BTC,-1.6,BUY,28809.08,0,0,-0.1337,135.8224
44,2023-05-07T10:18:33.431Z,28822.41,BTC,-1.53,SELL,28822.42,0,0.0463,-0.0874,136.2859
45,2023-05-07T10:25:41.643Z,28825,BTC,-1.433,BUY,28825.01,0,0,-0.0874,136.2802
46,2023-05-07T10:32:48.365Z,28827.92,BTC,-1.335,SELL,28827.91,0,0.0101,-0.0773,136.2845
47,2023-05-07T10:39:56.559Z,28831.91,BTC,-1.364,BUY,28831.91,0,0,-0.0773,136.2555
48,2023-05-07T10:47:02.837Z,28829.76,BTC,-1.413,SELL,28829.76,0,-0.0075,-0.0847,136.2812
49,2023-05-07T10:54:11.411Z,28859.68,BTC,-1.277,BUY,28859.69,0,0,-0.0847,136.3354
50,2023-05-07T11:01:17.916Z,28839.91,BTC,-1.348,SELL,28839.91,0,-0.0685,-0.1533,136.3374
51,2023-05-07T11:08:25.782Z,28834.2,BTC,-1.385,BUY,28834.19,0,0,-0.1533,136.3054
52,2023-05-07T11:15:32.901Z,28815.69,BTC,-1.471,SELL,28815.68,0,-0.0642,-0.2175,136.2523
53,2023-05-07T11:22:41.581Z,28772.3,BTC,-1.639,BUY,28772.29,0,0,-0.2175,135.8116
54,2023-05-07T11:29:48.983Z,28764.59,BTC,-1.621,SELL,28764.6,0,-0.0267,-0.2442,135.7334
55,2023-05-07T11:36:57.618Z,28810.59,BTC,-1.432,BUY,28810.6,0,0,-0.2442,135.7995
56,2023-05-07T11:44:03.804Z,28840.96,BTC,-1.409,SELL,28842.31,0,0.1101,-0.1341,135.7526
57,2023-05-07T11:51:12.063Z,28819.49,BTC,-1.473,BUY,28819.49,0,0,-0.1341,135.7185
58,2023-05-07T11:58:19.986Z,28839.39,BTC,-1.456,SELL,28839.39,0,0.0691,-0.0651,135.5908
59,2023-05-07T12:05:28.432Z,28848.08,BTC,-1.374,BUY,28848.08,0,0,-0.0651,135.9771
60,2023-05-07T12:12:34.897Z,28872.42,BTC,-1.239,SELL,28872.42,0,0.0844,0.0193,136.0336
61,2023-05-07T12:19:43.353Z,28897.17,BTC,-1.151,BUY,28897.18,0,0,0.0193,136.084
62,2023-05-07T12:26:52.086Z,28875.33,BTC,-1.143,SELL,28875.33,0,-0.0756,-0.0563,136.0297
63,2023-05-07T12:34:02.342Z,28886.26,BTC,-1.128,BUY,28886.25,0,0,-0.0563,136.013
64,2023-05-07T12:41:08.119Z,28910,BTC,-0.599,SELL,28910,0,0.0822,0.0259,135.9796
65,2023-05-07T12:48:15.722Z,28924.48,BTC,-0.491,BUY,28924.49,0,0,0.0259,136.4432
66,2023-05-07T12:55:22.887Z,28905.86,BTC,-0.587,SELL,28905.14,0,-0.0669,-0.041,136.2444
67,2023-05-07T13:02:29.760Z,28914.27,BTC,-0.556,BUY,28914.28,0,0,-0.041,136.4751
68,2023-05-07T13:09:36.059Z,28893.15,BTC,-0.601,SELL,28893.16,0,-0.073,-0.1141,136.0482
69,2023-05-07T13:16:44.944Z,28947.09,BTC,-0.322,BUY,28947.09,0,0,-0.1141,136.1343
70,2023-05-07T13:23:51.256Z,28921.91,BTC,-0.348,SELL,28921.9,0,-0.087,-0.2011,136.0692
71,2023-05-07T13:30:59.710Z,28917.15,BTC,-0.326,BUY,28917.1,0,0,-0.2011,136.093
72,2023-05-07T13:38:06.510Z,28948.02,BTC,-0.007,SELL,28947.21,0,0.1041,-0.097,136.1596
73,2023-05-07T13:45:14.774Z,28949.49,BTC,0.085,BUY,28949.48,0,0,-0.097,136.1155
74,2023-05-07T13:52:22.284Z,28898.33,BTC,-0.088,SELL,28898.33,0,-0.1767,-0.2736,136.0373
75,2023-05-07T13:59:30.814Z,28899.55,BTC,-0.129,BUY,28899.56,0,0,-0.2736,136.0456
76,2023-05-07T14:06:37.372Z,28937.47,BTC,0.714,SELL,28935.22,0,0.1234,-0.1502,136.0903
77,2023-05-07T14:13:45.329Z,28911.29,BTC,0.726,BUY,28911.28,0,0,-0.1502,136.0906
78,2023-05-07T14:20:51.759Z,28918.98,BTC,0.922,SELL,28918.99,0,0.0267,-0.1236,136.0867
79,2023-05-07T14:27:59.851Z,28918.99,BTC,1.092,BUY,28918.99,0,0,-0.1236,136.0879
80,2023-05-07T14:35:06.795Z,29020.11,BTC,1.406,SELL,29020.53,0,0.3511,0.2275,136.7975
81,2023-05-07T14:42:14.777Z,29003.66,BTC,1.472,BUY,28997.51,0,0,0.2275,136.4166
82,2023-05-07T14:49:20.466Z,29020.02,BTC,1.43,SELL,29022.23,0,0.0852,0.3128,136.5861
83,2023-05-07T14:56:27.342Z,29050.64,BTC,1.579,BUY,29050.01,0,0,0.3128,136.6404
84,2023-05-07T15:03:34.091Z,29000.26,BTC,1.807,SELL,29004.76,0,-0.1558,0.157,136.602
85,2023-05-07T15:10:44.188Z,29029.11,BTC,1.882,BUY,29024.72,0,0,0.157,136.552
86,2023-05-07T15:17:51.224Z,28957.38,BTC,1.555,SELL,28965.98,0,-0.2024,-0.0454,136.5146
87,2023-05-07T15:24:59.445Z,28937.49,BTC,1.33,BUY,28933.51,0,0,-0.0454,136.4534
88,2023-05-07T15:32:06.217Z,28918.2,BTC,1.199,SELL,28921.84,0,-0.0403,-0.0857,136.443
89,2023-05-07T15:39:15.773Z,28940,BTC,1.284,BUY,28939.99,0,0,-0.0857,136.4633
90,2023-05-07T15:46:22.723Z,28938.79,BTC,1.12,SELL,28938.79,0,-0.0041,-0.0898,136.7606
91,2023-05-07T15:53:31.443Z,28988.94,BTC,1.355,BUY,28988.95,0,0,-0.0898,136.8429
92,2023-05-07T16:00:37.087Z,28949.49,BTC,1.361,SELL,28949.49,0,-0.1361,-0.226,136.7853
93,2023-05-07T16:07:46.126Z,28928.4,BTC,1.217,BUY,28928.41,0,0,-0.226,136.8177
94,2023-05-07T16:14:52.169Z,28967.07,BTC,1.076,SELL,28967.06,0,0.1336,-0.0924,136.8454
95,2023-05-07T16:22:00.695Z,28912.28,BTC,0.946,BUY,28912.05,0,0,-0.0924,136.7711
96,2023-05-07T16:29:08.273Z,28908.29,BTC,0.755,SELL,28908.3,0,-0.013,-0.1053,136.709
97,2023-05-07T16:36:17.891Z,28853.05,BTC,0.67,BUY,28853.06,0,0,-0.1053,136.0071
98,2023-05-07T16:43:25.097Z,28893.16,BTC,0.865,SELL,28895.65,0,0.1476,0.0423,135.9859
99,2023-05-07T16:50:32.917Z,28898.88,BTC,0.805,BUY,28898.84,0,0,0.0423,135.9567
100,2023-05-07T16:57:39.892Z,28920,BTC,0.756,SELL,28920,0,0.0732,0.1155,136.149
101,2023-05-07T17:04:48.783Z,28995.3,BTC,1.116,BUY,28998.99,0,0,0.1155,136.5193
102,2023-05-07T17:11:54.809Z,28966.65,BTC,0.992,SELL,28969.75,0,-0.1008,0.0147,136.4446
103,2023-05-07T17:19:03.034Z,28974.35,BTC,0.958,BUY,28974.34,0,0,0.0147,136.4003
104,2023-05-07T17:26:10.152Z,28962.67,BTC,0.905,SELL,28962.67,0,-0.0403,-0.0256,136.3121
105,2023-05-07T17:33:19.441Z,28923.65,BTC,0.419,BUY,28924.15,0,0,-0.0256,136.0336
106,2023-05-07T17:40:26.451Z,28914.77,BTC,0.535,SELL,28914.77,0,-0.0324,-0.058,136.0332
107,2023-05-07T17:47:35.069Z,28918.22,BTC,0.537,BUY,28918.65,0,0,-0.058,136.0298
108,2023-05-07T17:54:42.256Z,28880.53,BTC,0.373,SELL,28880.38,0,-0.1323,-0.1904,136.1593
109,2023-05-07T18:01:52.017Z,28902.13,BTC,0.434,BUY,28902.13,0,0,-0.1904,136.1604
110,2023-05-07T18:08:59.360Z,28919.99,BTC,0.431,SELL,28920,0,0.0618,-0.1285,136.2054
111,2023-05-07T18:16:08.660Z,28925.32,BTC,0.296,BUY,28925.32,0,0,-0.1285,136.1274
112,2023-05-07T18:23:16.818Z,28890.94,BTC,0.051,SELL,28890.93,0,-0.1189,-0.2474,136.0566
113,2023-05-07T18:30:24.585Z,28905.94,BTC,0.07,BUY,28905.94,0,0,-0.2474,136.0784
114,2023-05-07T18:37:32.154Z,28912.71,BTC,0.133,SELL,28912.78,0,0.0237,-0.2238,136.3031
115,2023-05-07T18:44:41.080Z,28920.65,BTC,0,BUY,28920.65,0,0,-0.2238,136.3277
116,2023-05-07T18:51:47.870Z,28904.15,BTC,-0.079,SELL,28904.16,0,-0.057,-0.2808,136.3117
117,2023-05-07T18:58:56.569Z,28863.23,BTC,-0.17,BUY,28863.23,0,0,-0.2808,136.2911
118,2023-05-07T19:06:03.142Z,28856.51,BTC,-0.26,SELL,28856.52,0,-0.0232,-0.304,136.2577
119,2023-05-07T19:13:14.027Z,28814.03,BTC,-0.272,BUY,28814.03,0,0,-0.304,135.8699
120,2023-05-07T19:20:22.926Z,28852.24,BTC,-0.071,SELL,28852.23,0,0.1326,-0.1715,135.8825
121,2023-05-07T19:27:32.737Z,28850.53,BTC,-0.125,BUY,28850.53,0,0,-0.1715,135.912
122,2023-05-07T19:34:41.064Z,28863.63,BTC,0.014,SELL,28863.62,0,0.0454,-0.1261,135.8564
123,2023-05-07T19:41:51.117Z,28880.32,BTC,0.007,BUY,28880.15,0,0,-0.1261,135.8856
124,2023-05-07T19:48:57.872Z,28908.89,BTC,0.16,SELL,28908.9,0,0.0995,-0.0265,136.2744
125,2023-05-07T19:56:06.358Z,28923.24,BTC,0.191,BUY,28923.24,0,0,-0.0265,136.305
126,2023-05-07T20:03:13.375Z,28924.7,BTC,0.228,SELL,28924.71,0,0.0051,-0.0215,136.2907
127,2023-05-07T20:10:21.662Z,28925.74,BTC,0.409,BUY,28925.31,0,0,-0.0215,136.2475
128,2023-05-07T20:17:29.177Z,28936.97,BTC,0.391,SELL,28941.32,0,0.0553,0.0339,136.3226
129,2023-05-07T20:24:38.366Z,28920.99,BTC,0.256,BUY,28921.07,0,0,0.0339,136.1916
130,2023-05-07T20:31:47.182Z,28923.02,BTC,0.403,SELL,28927.49,0,0.0222,0.0561,136.6845
131,2023-05-07T20:38:55.816Z,28914.29,BTC,0.366,BUY,28914.29,0,0,0.0561,136.6338
132,2023-05-07T20:46:02.608Z,28909.23,BTC,0.301,SELL,28909.23,0,-0.0175,0.0386,136.67
133,2023-05-07T20:53:10.245Z,28895.58,BTC,0.262,BUY,28895.58,0,0,0.0386,136.6919
134,2023-05-07T21:00:17.489Z,28905.61,BTC,0.395,SELL,28905.6,0,0.0347,0.0733,136.7029
135,2023-05-07T21:07:25.288Z,28877.87,BTC,0.451,BUY,28877.87,0,0,0.0733,136.6882
136,2023-05-07T21:14:31.662Z,28869,BTC,0.298,SELL,28868.96,0,-0.0309,0.0424,136.6658
137,2023-05-07T21:21:40.396Z,28889.03,BTC,0.434,BUY,28889.03,0,0,0.0424,136.7281
138,2023-05-07T21:28:47.095Z,28916.69,BTC,0.527,SELL,28916.68,0,0.0957,0.1381,136.7128
139,2023-05-07T21:35:54.763Z,28912.29,BTC,0.571,BUY,28912.39,0,0,0.1381,136.7103
140,2023-05-07T21:43:00.261Z,28838.01,BTC,0.417,SELL,28838.01,0,-0.2573,-0.1191,136.5669
141,2023-05-07T21:50:09.634Z,28836.21,BTC,0.408,BUY,28836.21,0,0,-0.1191,136.5212
142,2023-05-07T21:57:16.810Z,28765.19,BTC,-0.079,SELL,28768.66,0,-0.2343,-0.3534,135.9669
143,2023-05-07T22:04:27.257Z,28789.63,BTC,-0.023,BUY,28789.63,0,0,-0.3534,135.9647
144,2023-05-07T22:11:38.247Z,28756.35,BTC,-0.121,SELL,28751.76,0,-0.1315,-0.4849,135.6115
145,2023-05-07T22:18:47.099Z,28835.03,BTC,0.119,BUY,28836.19,0,0,-0.4849,135.7956
146,2023-05-07T22:25:53.622Z,28829.99,BTC,-0.016,SELL,28825.06,0,-0.0386,-0.5235,136.3182
147,2023-05-07T22:33:03.620Z,28798.92,BTC,-0.154,BUY,28798.91,0,0,-0.5235,136.2887
148,2023-05-07T22:40:10.311Z,28792.49,BTC,-0.061,SELL,28788.68,0,-0.0355,-0.559,136.2651
149,2023-05-07T22:47:19.113Z,28777.93,BTC,-0.186,BUY,28777.93,0,0,-0.559,136.3066
150,2023-05-07T22:54:26.929Z,28780,BTC,-0.221,SELL,28781.42,0,0.0121,-0.5469,136.3392
151,2023-05-07T23:01:35.934Z,28739.12,BTC,-0.341,BUY,28739.11,0,0,-0.5469,135.8308
152,2023-05-07T23:08:43.686Z,28740.59,BTC,-0.431,SELL,28740.59,0,0.0051,-0.5418,135.8461
153,2023-05-07T23:15:50.959Z,28757.68,BTC,-0.336,BUY,28756.64,0,0,-0.5418,135.8022
154,2023-05-07T23:22:57.490Z,28755.82,BTC,-0.361,SELL,28755.82,0,-0.0029,-0.5446,135.8952
155,2023-05-07T23:30:04.999Z,28739.81,BTC,-0.347,BUY,28739.81,0,0,-0.5446,135.886
156,2023-05-07T23:37:12.118Z,28778.59,BTC,-0.15,SELL,28778.58,0,0.1349,-0.4097,136.1903
157,2023-05-07T23:44:21.611Z,28685.88,BTC,-0.415,BUY,28690.01,0,0,-0.4097,136.1083
158,2023-05-07T23:51:26.709Z,28563.29,BTC,-1.064,SELL,28563.28,0,-0.4417,-0.8514,135.373
159,2023-05-07T23:58:33.606Z,28413.34,BTC,-1.511,BUY,28413.35,0,0,-0.8514,134.3468
160,2023-05-08T00:05:39.493Z,28449.68,BTC,-1.447,SELL,28449.68,0,0.1279,-0.7236,134.5269
161,2023-05-08T00:12:47.136Z,28560.01,BTC,-0.942,BUY,28567.06,0,0,-0.7236,135.0279
162,2023-05-08T00:19:52.937Z,28615.71,BTC,-0.697,SELL,28619.99,0,0.1853,-0.5383,135.3242
163,2023-05-08T00:27:00.265Z,28618.27,BTC,-0.647,BUY,28623.81,0,0,-0.5383,135.2613
164,2023-05-08T00:34:06.797Z,28587.81,BTC,-0.794,SELL,28587.81,0,-0.1258,-0.6641,135.1507
165,2023-05-08T00:41:15.152Z,28572.22,BTC,-0.811,BUY,28572.21,0,0,-0.6641,135.1692
166,2023-05-08T00:48:21.171Z,28564.17,BTC,-1.074,SELL,28564.17,0,-0.0281,-0.6922,135.1773
167,2023-05-08T00:55:28.992Z,28552.53,BTC,-1.38,BUY,28552.52,0,0,-0.6922,135.1472
168,2023-05-08T01:02:36.292Z,28582.65,BTC,-1.216,SELL,28582.55,0,0.1052,-0.587,135.1598
169,2023-05-08T01:09:43.645Z,28587.76,BTC,-0.856,BUY,28587.77,0,0,-0.587,135.1471
170,2023-05-08T01:16:51.019Z,28545,BTC,-1.043,SELL,28545.01,0,-0.1496,-0.7366,135.0766
171,2023-05-08T01:23:57.558Z,28519.05,BTC,-1.694,BUY,28519.04,0,0,-0.7366,135.0478
172,2023-05-08T01:31:04.006Z,28516.74,BTC,-2.146,SELL,28472.46,0,-0.1633,-0.8999,134.1678
173,2023-05-08T01:38:11.771Z,28547.94,BTC,-1.617,BUY,28547.93,0,0,-0.8999,134.9706
174,2023-05-08T01:45:18.747Z,28099.78,BTC,-3.05,SELL,28115.01,0,-1.5165,-2.4164,132.2006
175,2023-05-08T01:52:27.618Z,28156.22,BTC,-2.796,BUY,28139.06,0,0,-2.4164,131.8801
176,2023-05-08T01:59:33.858Z,28201.15,BTC,-2.354,SELL,28200.13,0,0.217,-2.1994,132.1238
177,2023-05-08T02:06:43.657Z,28140.65,BTC,-2.646,BUY,28142.21,0,0,-2.1994,131.8899
178,2023-05-08T02:13:51.387Z,28230.97,BTC,-2.44,SELL,28233.06,0,0.3228,-1.8765,131.9785
179,2023-05-08T02:21:00.900Z,28246.7,BTC,-2.138,BUY,28252.23,0,0,-1.8765,132.0475
180,2023-05-08T02:28:10.700Z,28234.78,BTC,-2.279,SELL,28231.29,0,-0.0741,-1.9507,132.3425
181,2023-05-08T02:35:17.590Z,28175.74,BTC,-2.469,BUY,28175.75,0,0,-1.9507,132.3106
182,2023-05-08T02:42:23.654Z,28202.37,BTC,-2.302,SELL,28205.74,0,0.1064,-1.8442,131.9735
183,2023-05-08T02:49:30.680Z,28248.07,BTC,-2.125,BUY,28245.81,0,0,-1.8442,132.8161
184,2023-05-08T02:56:36.771Z,28260.64,BTC,-2.013,SELL,28260.65,0,0.0525,-1.7917,132.5384
185,2023-05-08T03:03:45.918Z,28239.19,BTC,-1.923,BUY,28239.19,0,0,-1.7917,132.6337
186,2023-05-08T03:10:51.534Z,28232.84,BTC,-1.99,SELL,28232.84,0,-0.0225,-1.8142,132.5432
187,2023-05-08T03:17:58.868Z,28210.8,BTC,-2.083,BUY,28202.94,0,0,-1.8142,132.5846
188,2023-05-08T03:25:06.293Z,28175.32,BTC,-2.116,SELL,28175.32,0,-0.0979,-1.9121,132.2016
189,2023-05-08T03:32:14.370Z,28200.91,BTC,-1.98,BUY,28200.91,0,0,-1.9121,132.3983
190,2023-05-08T03:39:19.684Z,28131.61,BTC,-2.216,SELL,28132.96,0,-0.2409,-2.1531,132.1874
191,2023-05-08T03:46:27.913Z,28139.93,BTC,-2.221,BUY,28133.29,0,0,-2.1531,132.3346
192,2023-05-08T03:53:33.523Z,28163.41,BTC,-2.199,SELL,28171.58,0,0.1361,-2.017,133.0466
193,2023-05-08T04:00:42.413Z,28187.2,BTC,-2.135,BUY,28187.2,0,0,-2.017,133.049
194,2023-05-08T04:07:48.070Z,28189.99,BTC,-2.195,SELL,28187.09,0,-0.0004,-2.0173,133.0533
195,2023-05-08T04:14:56.259Z,28165.51,BTC,-2.231,BUY,28166.89,0,0,-2.0173,132.8977
196,2023-05-08T04:22:03.266Z,28181.85,BTC,-2.268,SELL,28181.85,0,0.0531,-1.9642,132.882
197,2023-05-08T04:29:11.019Z,28192.32,BTC,-2.153,BUY,28192.33,0,0,-1.9642,132.8251
198,2023-05-08T04:36:16.771Z,28212.59,BTC,-2.083,SELL,28212.58,0,0.0718,-1.8924,132.8626
199,2023-05-08T04:43:24.132Z,28199.77,BTC,-2.106,BUY,28199.78,0,0,-1.8924,132.8426
