Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:08.382Z,28842.02,BTC,-1.794,BUY,28842.01,0,0,0,135.6586
2,2023-05-07T05:23:14.727Z,28833.22,BTC,-1.811,SELL,28833.23,0,-0.0304,-0.0304,135.6228
3,2023-05-07T05:34:22.322Z,28900.11,BTC,-1.627,BUY,28900.1,0,0,-0.0304,136.1209
4,2023-05-07T05:45:27.799Z,28903.34,BTC,-1.488,SELL,28899.98,0,-0.0004,-0.0309,136.1431
5,2023-05-07T05:56:37.144Z,28874.97,BTC,-1.592,BUY,28874.98,0,0,-0.0309,136.082
6,2023-05-07T06:07:44.504Z,28895.04,BTC,-1.417,SELL,28895.03,0,0.0694,0.0386,135.968
7,2023-05-07T06:18:53.348Z,28905.88,BTC,-1.613,BUY,28904.33,0,0,0.0386,136.0707
8,2023-05-07T06:30:00.861Z,28874.3,BTC,-1.587,SELL,28875.46,0,-0.0999,-0.0613,135.9978
9,2023-05-07T06:41:09.076Z,28909.65,BTC,-1.497,BUY,28909.65,0,0,-0.0613,136.0423
10,2023-05-07T06:52:15.395Z,28931.62,BTC,-1.432,SELL,28931.61,0,0.076,0.0147,136.262
11,2023-05-07T07:03:23.924Z,28912.11,BTC,-1.587,BUY,28912.1,0,0,0.0147,136.2424
12,2023-05-07T07:14:31.439Z,28923.16,BTC,-1.572,SELL,28923.16,0,0.0383,0.0529,136.2089
13,2023-05-07T07:25:40.076Z,28933.91,BTC,-1.573,BUY,28933.91,0,0,0.0529,136.5256
14,2023-05-07T07:36:47.609Z,28930.93,BTC,-1.577,SELL,28930.92,0,-0.0103,0.0426,136.5243
15,2023-05-07T07:47:56.983Z,28929.99,BTC,-1.511,BUY,28929.99,0,0,0.0426,136.5977
16,2023-05-07T07:59:04.877Z,28908.89,BTC,-1.56,SELL,28908.88,0,-0.073,-0.0304,136.5921
17,2023-05-07T08:10:13.987Z,28945.78,BTC,-1.04,BUY,28945.78,0,0,-0.0304,136.3197
18,2023-05-07T08:21:22.594Z,28945.16,BTC,-1.125,SELL,28945.17,0,-0.0021,-0.0325,135.9999
19,2023-05-07T08:32:30.379Z,28904.25,BTC,-1.441,BUY,28904.25,0,0,-0.0325,136.263
20,2023-05-07T08:43:37.376Z,28853.66,BTC,-1.64,SELL,28854.41,0,-0.1724,-0.2049,135.8274
21,2023-05-07T08:54:47.073Z,28870.18,BTC,-1.563,BUY,28870.17,0,0,-0.2049,136.0354
22,2023-05-07T09:05:53.842Z,28856.39,BTC,-1.621,SELL,28856.41,0,-0.0477,-0.2526,136.0816
23,2023-05-07T09:17:03.135Z,28791.69,BTC,-1.709,BUY,28791.71,0,0,-0.2526,135.96
24,2023-05-07T09:28:09.572Z,28844.07,BTC,-1.629,SELL,28844.07,0,0.1819,-0.0707,136.4601
25,2023-05-07T09:39:17.558Z,28806.53,BTC,-1.749,BUY,28807.32,0,0,-0.0707,136.4159
26,2023-05-07T09:50:22.987Z,28808.72,BTC,-1.834,SELL,28806.3,0,-0.0035,-0.0743,136.241
27,2023-05-07T10:01:32.027Z,28825.76,BTC,-1.497,BUY,28825.77,0,0,-0.0743,135.8603
28,2023-05-07T10:12:39.872Z,28806.71,BTC,-1.633,SELL,28806.71,0,-0.0661,-0.1404,135.8393
