Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:09.404Z,28842.02,BTC,-1.794,BUY,28842.01,0,0,0,135.6586
2,2023-05-07T05:24:16.768Z,28825.85,BTC,-1.853,SELL,28825.85,0,-0.056,-0.056,136.0335
3,2023-05-07T05:36:25.319Z,28870.01,BTC,-1.698,BUY,28870.01,0,0,-0.056,136.1029
4,2023-05-07T05:48:30.923Z,28892.16,BTC,-1.573,SELL,28892.15,0,0.0767,0.0207,136.1256
5,2023-05-07T06:00:38.374Z,28904.77,BTC,-1.479,BUY,28904.77,0,0,0.0207,136.1071
6,2023-05-07T06:12:46.318Z,28897.49,BTC,-1.578,SELL,28897.49,0,-0.0252,-0.0045,135.9042
7,2023-05-07T06:24:53.814Z,28923.92,BTC,-1.564,BUY,28923.92,0,0,-0.0045,136.0907
8,2023-05-07T06:37:00.362Z,28892.47,BTC,-1.355,SELL,28898.39,0,-0.0883,-0.0928,136.0305
9,2023-05-07T06:49:08.776Z,28926.43,BTC,-1.494,BUY,28926.44,0,0,-0.0928,136.4707
10,2023-05-07T07:01:14.875Z,28915.5,BTC,-1.538,SELL,28920.13,0,-0.0218,-0.1146,136.2675
11,2023-05-07T07:13:24.409Z,28922.36,BTC,-1.564,BUY,28922.36,0,0,-0.1146,136.1996
12,2023-05-07T07:25:31.587Z,28933.91,BTC,-1.573,SELL,28933.92,0,0.04,-0.0746,136.5263
13,2023-05-07T07:37:40.714Z,28934.93,BTC,-1.553,BUY,28938.99,0,0,-0.0746,136.595
14,2023-05-07T07:49:49.865Z,28927.77,BTC,-1.513,SELL,28927.77,0,-0.0388,-0.1134,136.6026
15,2023-05-07T08:02:00.723Z,28938.97,BTC,-1.199,BUY,28938.97,0,0,-0.1134,136.6589
16,2023-05-07T08:14:08.734Z,28936.46,BTC,-1.061,SELL,28936.46,0,-0.0087,-0.1221,136.661
17,2023-05-07T08:26:17.760Z,28932.77,BTC,-1.273,BUY,28932.77,0,0,-0.1221,136.2891
18,2023-05-07T08:38:26.472Z,28851.94,BTC,-1.609,SELL,28854.91,0,-0.2691,-0.3912,136.1643
19,2023-05-07T08:50:34.469Z,28863.11,BTC,-1.598,BUY,28863.1,0,0,-0.3912,135.83
20,2023-05-07T09:02:42.026Z,28850.79,BTC,-1.722,SELL,28851.04,0,-0.0418,-0.433,136.0607
21,2023-05-07T09:14:50.070Z,28825.71,BTC,-1.604,BUY,28826.08,0,0,-0.433,136.0123
22,2023-05-07T09:26:55.869Z,28830.82,BTC,-1.674,SELL,28830.82,0,0.0164,-0.4165,135.9263
23,2023-05-07T09:39:04.968Z,28813.07,BTC,-1.717,BUY,28813.07,0,0,-0.4165,136.4181
24,2023-05-07T09:51:13.067Z,28821.17,BTC,-1.722,SELL,28821.17,0,0.0281,-0.3884,136.2674
25,2023-05-07T10:03:20.403Z,28825.13,BTC,-1.564,BUY,28825.13,0,0,-0.3884,135.8631
26,2023-05-07T10:15:27.291Z,28821.88,BTC,-1.581,SELL,28821.87,0,-0.0113,-0.3997,136.2779
27,2023-05-07T10:27:36.002Z,28827.37,BTC,-1.441,BUY,28827.37,0,0,-0.3997,136.2932
28,2023-05-07T10:39:42.261Z,28831.91,BTC,-1.351,SELL,28831.91,0,0.0157,-0.384,136.2557
29,2023-05-07T10:51:52.002Z,28845.47,BTC,-1.39,BUY,28845.48,0,0,-0.384,136.2915
30,2023-05-07T11:03:58.283Z,28840,BTC,-1.327,SELL,28840,0,-0.019,-0.403,136.3322
31,2023-05-07T11:16:08.302Z,28815.01,BTC,-1.454,BUY,28815,0,0,-0.403,136.2527
32,2023-05-07T11:28:14.729Z,28765,BTC,-1.659,SELL,28764.38,0,-0.1757,-0.5786,135.7284
33,2023-05-07T11:40:23.481Z,28871.89,BTC,-1.288,BUY,28871.89,0,0,-0.5786,135.8013
34,2023-05-07T11:52:33.347Z,28838.68,BTC,-1.391,SELL,28838.67,0,-0.1151,-0.6937,135.721
35,2023-05-07T12:04:44.976Z,28852.6,BTC,-1.37,BUY,28852.59,0,0,-0.6937,135.9755
36,2023-05-07T12:16:53.216Z,28908.4,BTC,-1.137,SELL,28907.62,0,0.1907,-0.503,136.059
37,2023-05-07T12:29:00.546Z,28881.86,BTC,-1.221,BUY,28881.86,0,0,-0.503,136.0313
38,2023-05-07T12:41:06.867Z,28910,BTC,-0.613,SELL,28910,0,0.0974,-0.4055,135.9819
39,2023-05-07T12:53:15.262Z,28913.91,BTC,-0.53,BUY,28913.92,0,0,-0.4055,136.256
40,2023-05-07T13:05:22.558Z,28908.29,BTC,-0.579,SELL,28908.29,0,-0.0195,-0.425,136.0612
41,2023-05-07T13:17:30.175Z,28973.67,BTC,-0.195,BUY,28973.57,0,0,-0.425,136.1629
42,2023-05-07T13:29:36.642Z,28916.96,BTC,-0.399,SELL,28916.97,0,-0.1954,-0.6204,136.085
43,2023-05-07T13:41:44.884Z,28960.08,BTC,0.117,BUY,28960.08,0,0,-0.6204,136.1417
44,2023-05-07T13:53:50.110Z,28891.25,BTC,-0.21,SELL,28891.26,0,-0.2376,-0.858,136.0374
45,2023-05-07T14:05:58.754Z,28930.54,BTC,0.258,BUY,28930.53,0,0,-0.858,136.0963
46,2023-05-07T14:18:04.713Z,28904.54,BTC,0.925,SELL,28904.55,0,-0.0898,-0.9478,136.0906
47,2023-05-07T14:30:12.981Z,28931.43,BTC,1.088,BUY,28931.43,0,0,-0.9478,136.1067
48,2023-05-07T14:42:18.457Z,29004.13,BTC,1.469,SELL,29004.13,0,0.2513,-0.6965,136.4396
49,2023-05-07T14:54:25.857Z,29057.41,BTC,1.597,BUY,29056.7,0,0,-0.6965,136.6515
50,2023-05-07T15:06:31.571Z,29011.79,BTC,1.815,SELL,29011.79,0,-0.1546,-0.8511,136.5649
51,2023-05-07T15:18:40.460Z,28976.45,BTC,1.437,BUY,28960.23,0,0,-0.8511,136.4258
52,2023-05-07T15:30:47.020Z,28936.75,BTC,1.326,SELL,28936.75,0,-0.0811,-0.9322,136.4492
53,2023-05-07T15:42:56.150Z,28923.67,BTC,1.072,BUY,28923.77,0,0,-0.9322,136.2564
54,2023-05-07T15:55:03.304Z,28981.87,BTC,1.331,SELL,28981.88,0,0.2009,-0.7313,136.847
55,2023-05-07T16:07:12.940Z,28934.81,BTC,1.317,BUY,28934.81,0,0,-0.7313,136.8223
56,2023-05-07T16:19:20.335Z,28921.84,BTC,0.971,SELL,28921.85,0,-0.0448,-0.776,136.7923
57,2023-05-07T16:31:27.565Z,28845.34,BTC,0.626,BUY,28842.08,0,0,-0.776,135.9815
58,2023-05-07T16:43:33.707Z,28892.52,BTC,0.856,SELL,28893.15,0,0.1771,-0.599,135.9768
59,2023-05-07T16:55:43.153Z,28919.02,BTC,0.797,BUY,28919.02,0,0,-0.599,136.1409
60,2023-05-07T17:07:50.010Z,29000.65,BTC,1.143,SELL,29003.39,0,0.2917,-0.3072,136.5281
61,2023-05-07T17:19:57.842Z,28976.14,BTC,0.963,BUY,28976.14,0,0,-0.3072,136.3764
62,2023-05-07T17:32:04.222Z,28905.32,BTC,0.347,SELL,28905.32,0,-0.2444,-0.5516,136.0296
63,2023-05-07T17:44:11.290Z,28898.21,BTC,0.526,BUY,28898.22,0,0,-0.5516,136.0145
64,2023-05-07T17:56:18.192Z,28892.66,BTC,0.437,SELL,28892.66,0,-0.0192,-0.5709,136.1636
65,2023-05-07T18:08:26.671Z,28913.69,BTC,0.434,BUY,28913.69,0,0,-0.5709,136.1973
