Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:11.730Z,28841.33,BTC,-1.794,BUY,28842.02,0,0,0,135.6607
2,2023-05-07T05:22:18.226Z,28829.37,BTC,-1.824,SELL,28829.36,0,-0.0439,-0.0439,135.6211
3,2023-05-07T05:32:26.213Z,28882.82,BTC,-1.678,BUY,28882.83,0,0,-0.0439,136.087
4,2023-05-07T05:42:32.869Z,28881.24,BTC,-1.592,SELL,28881.24,0,-0.0055,-0.0494,136.1443
5,2023-05-07T05:52:41.755Z,28887.38,BTC,-1.646,BUY,28887.87,0,0,-0.0494,136.1
6,2023-05-07T06:02:48.887Z,28878.55,BTC,-1.587,SELL,28878.55,0,-0.0323,-0.0817,136.1062
7,2023-05-07T06:12:57.550Z,28897.64,BTC,-1.589,BUY,28897.64,0,0,-0.0817,135.9031
8,2023-05-07T06:23:03.186Z,28916.13,BTC,-1.579,SELL,28916.12,0,0.0639,-0.0177,136.0706
9,2023-05-07T06:33:11.361Z,28877.72,BTC,-1.615,BUY,28877.01,0,0,-0.0177,135.9966
10,2023-05-07T06:43:18.477Z,28921.53,BTC,-1.424,SELL,28921.52,0,0.1541,0.1364,136.0701
11,2023-05-07T06:53:26.457Z,28931.86,BTC,-1.391,BUY,28931.85,0,0,0.1364,136.2638
12,2023-05-07T07:03:33.291Z,28912.11,BTC,-1.589,SELL,28912.1,0,-0.0683,0.0682,136.2437
13,2023-05-07T07:13:42.839Z,28927.44,BTC,-1.547,BUY,28927.43,0,0,0.0682,136.2007
14,2023-05-07T07:23:50.412Z,28952.56,BTC,-1.498,SELL,28952.55,0,0.0868,0.155,136.5138
15,2023-05-07T07:33:59.245Z,28907.13,BTC,-1.715,BUY,28907.13,0,0,0.155,136.516
16,2023-05-07T07:44:05.756Z,28934.75,BTC,-1.542,SELL,28934.75,0,0.0955,0.2505,136.5877
17,2023-05-07T07:54:15.969Z,28913.63,BTC,-1.576,BUY,28913.64,0,0,0.2505,136.5873
18,2023-05-07T08:04:22.361Z,28932.69,BTC,-0.899,SELL,28932.68,0,0.0659,0.3164,136.6335
19,2023-05-07T08:14:31.050Z,28936.45,BTC,-1.073,BUY,28936.46,0,0,0.3164,136.6581
20,2023-05-07T08:24:37.377Z,28929.16,BTC,-1.232,SELL,28929.17,0,-0.0252,0.2912,136.3126
21,2023-05-07T08:34:45.398Z,28874.28,BTC,-1.48,BUY,28874.29,0,0,0.2912,136.1751
22,2023-05-07T08:44:53.480Z,28854.28,BTC,-1.651,SELL,28854.29,0,-0.0693,0.2219,135.8269
23,2023-05-07T08:55:00.863Z,28870.17,BTC,-1.563,BUY,28870.17,0,0,0.2219,136.0353
24,2023-05-07T09:05:07.806Z,28847.9,BTC,-1.7,SELL,28845.99,0,-0.0838,0.1382,136.0708
25,2023-05-07T09:15:15.158Z,28825.7,BTC,-1.619,BUY,28825.7,0,0,0.1382,135.991
26,2023-05-07T09:25:22.134Z,28794.91,BTC,-1.751,SELL,28794.68,0,-0.1076,0.0306,135.9086
27,2023-05-07T09:35:31.292Z,28887.95,BTC,-1.356,BUY,28887.96,0,0,0.0306,136.4834
28,2023-05-07T09:45:38.446Z,28808.1,BTC,-1.783,SELL,28816.04,0,-0.249,-0.2184,135.9266
29,2023-05-07T09:55:48.458Z,28815.5,BTC,-1.699,BUY,28815.5,0,0,-0.2184,135.8439
30,2023-05-07T10:05:55.633Z,28810.01,BTC,-1.639,SELL,28810.01,0,-0.0191,-0.2374,135.8581
31,2023-05-07T10:16:06.123Z,28816.81,BTC,-1.581,BUY,28816.81,0,0,-0.2374,136.2771
32,2023-05-07T10:26:14.434Z,28827.31,BTC,-1.437,SELL,28827.31,0,0.0364,-0.201,136.2932
33,2023-05-07T10:36:24.176Z,28832.49,BTC,-1.448,BUY,28832.49,0,0,-0.201,136.2826
34,2023-05-07T10:46:33.352Z,28827.19,BTC,-1.425,SELL,28827.19,0,-0.0184,-0.2194,136.2696
35,2023-05-07T10:56:44.180Z,28849.85,BTC,-1.304,BUY,28849.86,0,0,-0.2194,136.3312
36,2023-05-07T11:06:51.999Z,28835.06,BTC,-1.297,SELL,28835.06,0,-0.0513,-0.2707,136.3311
37,2023-05-07T11:17:04.071Z,28822.07,BTC,-1.439,BUY,28822.08,0,0,-0.2707,136.2737
38,2023-05-07T11:27:11.288Z,28752.99,BTC,-1.711,SELL,28752.99,0,-0.2397,-0.5104,135.738
39,2023-05-07T11:37:23.024Z,28851.7,BTC,-1.335,BUY,28850.86,0,0,-0.5104,135.8161
40,2023-05-07T11:47:30.490Z,28848.12,BTC,-1.366,SELL,28848.12,0,-0.0095,-0.5199,135.7433
41,2023-05-07T11:57:37.376Z,28832.41,BTC,-1.49,BUY,28832.4,0,0,-0.5199,135.7128
42,2023-05-07T12:07:44.441Z,28862.16,BTC,-1.32,SELL,28862.16,0,0.1032,-0.4167,136.02
43,2023-05-07T12:17:51.320Z,28902.23,BTC,-1.174,BUY,28902.23,0,0,-0.4167,136.0876
44,2023-05-07T12:27:59.073Z,28870.18,BTC,-1.136,SELL,28870.18,0,-0.1109,-0.5276,136.0315
45,2023-05-07T12:38:08.223Z,28890.95,BTC,-0.973,BUY,28890.94,0,0,-0.5276,135.9862
46,2023-05-07T12:48:16.341Z,28923.65,BTC,-0.491,SELL,28924.49,0,0.1161,-0.4114,136.4456
47,2023-05-07T12:58:24.757Z,28927.93,BTC,-0.55,BUY,28927.93,0,0,-0.4114,136.2661
48,2023-05-07T13:08:31.068Z,28901.12,BTC,-0.584,SELL,28901.12,0,-0.0927,-0.5041,136.0611
49,2023-05-07T13:18:39.265Z,28963.55,BTC,-0.252,BUY,28965,0,0,-0.5041,136.1758
50,2023-05-07T13:28:45.150Z,28926.82,BTC,-0.357,SELL,28926.82,0,-0.1318,-0.6359,136.0835
51,2023-05-07T13:38:52.762Z,28957.54,BTC,0.035,BUY,28957.55,0,0,-0.6359,136.153
52,2023-05-07T13:48:58.875Z,28934.02,BTC,-0.23,SELL,28931.08,0,-0.0914,-0.7273,136.0818
53,2023-05-07T13:59:07.068Z,28899.7,BTC,-0.153,BUY,28899.7,0,0,-0.7273,136.0475
54,2023-05-07T14:09:14.892Z,28926.41,BTC,1.12,SELL,28926.4,0,0.0924,-0.635,136.094
55,2023-05-07T14:19:23.158Z,28909.08,BTC,0.895,BUY,28909.07,0,0,-0.635,136.0838
56,2023-05-07T14:29:29.294Z,28942.84,BTC,1.148,SELL,28943.5,0,0.1191,-0.5159,136.1188
57,2023-05-07T14:39:39.340Z,28963.43,BTC,0.965,BUY,28961.52,0,0,-0.5159,136.3832
58,2023-05-07T14:49:45.357Z,29034.64,BTC,1.464,SELL,29034.61,0,0.2524,-0.2635,136.5933
59,2023-05-07T14:59:52.195Z,29044.69,BTC,1.543,BUY,29045.72,0,0,-0.2635,136.5957
60,2023-05-07T15:09:58.509Z,29011.97,BTC,1.736,SELL,29010.72,0,-0.1205,-0.384,136.5502
61,2023-05-07T15:20:07.992Z,28960.16,BTC,1.459,BUY,28960.16,0,0,-0.384,136.454
62,2023-05-07T15:30:16.141Z,28939.78,BTC,1.342,SELL,28943.59,0,-0.0572,-0.4412,136.485
63,2023-05-07T15:40:24.317Z,28940,BTC,1.346,BUY,28942.12,0,0,-0.4412,136.5013
64,2023-05-07T15:50:31.161Z,28957.56,BTC,1.297,SELL,28957.56,0,0.0533,-0.3879,136.8115
65,2023-05-07T16:00:38.544Z,28949.49,BTC,1.361,BUY,28949.48,0,0,-0.3879,136.7851
66,2023-05-07T16:10:44.838Z,28918.67,BTC,1.051,SELL,28918.68,0,-0.1064,-0.4943,136.8128
67,2023-05-07T16:20:54.668Z,28916,BTC,0.991,BUY,28916,0,0,-0.4943,136.7886
68,2023-05-07T16:31:01.303Z,28876.62,BTC,0.758,SELL,28881.53,0,-0.1192,-0.6135,136.0253
69,2023-05-07T16:41:09.744Z,28896.29,BTC,0.862,BUY,28896.29,0,0,-0.6135,135.9393
70,2023-05-07T16:51:15.530Z,28903,BTC,0.787,SELL,28903,0,0.0232,-0.5902,135.9661
71,2023-05-07T17:01:25.135Z,28952.32,BTC,0.955,BUY,28957.72,0,0,-0.5902,136.4511
72,2023-05-07T17:11:33.581Z,28966.64,BTC,0.981,SELL,28966.65,0,0.0308,-0.5594,136.4357
73,2023-05-07T17:21:42.664Z,28963.28,BTC,0.929,BUY,28963.28,0,0,-0.5594,136.3381
74,2023-05-07T17:31:51.958Z,28905.08,BTC,0.352,SELL,28905.07,0,-0.201,-0.7604,136.0322
75,2023-05-07T17:42:00.574Z,28889.97,BTC,0.479,BUY,28889.98,0,0,-0.7604,136.0096
76,2023-05-07T17:52:08.080Z,28900.46,BTC,0.506,SELL,28900.47,0,0.0363,-0.7241,136.1723
77,2023-05-07T18:02:17.175Z,28901.54,BTC,0.434,BUY,28902.13,0,0,-0.7241,136.1634
78,2023-05-07T18:12:25.065Z,28919.72,BTC,0.305,SELL,28919.72,0,0.0609,-0.6632,136.2643
79,2023-05-07T18:22:33.360Z,28895.63,BTC,0.196,BUY,28896.53,0,0,-0.6632,136.0898
80,2023-05-07T18:32:42.114Z,28947.87,BTC,0.28,SELL,28942.88,0,0.1604,-0.5028,136.0982
81,2023-05-07T18:42:51.661Z,28923,BTC,0.045,BUY,28923,0,0,-0.5028,136.3157
82,2023-05-07T18:52:58.969Z,28895.39,BTC,-0.063,SELL,28895.39,0,-0.0955,-0.5983,136.3087
83,2023-05-07T19:03:06.117Z,28866.22,BTC,-0.016,BUY,28866.22,0,0,-0.5983,136.2538
84,2023-05-07T19:13:12.910Z,28814.03,BTC,-0.272,SELL,28814.04,0,-0.1808,-0.779,135.8704
85,2023-05-07T19:23:21.371Z,28844.75,BTC,-0.063,BUY,28844.75,0,0,-0.779,135.8673
86,2023-05-07T19:33:29.360Z,28852.39,BTC,-0.121,SELL,28852.39,0,0.0265,-0.7525,135.8521
87,2023-05-07T19:43:39.107Z,28876.39,BTC,0.081,BUY,28876.39,0,0,-0.7525,135.9098
88,2023-05-07T19:53:45.699Z,28911.29,BTC,0.152,SELL,28911.29,0,0.1209,-0.6317,136.2674
89,2023-05-07T20:03:52.840Z,28927.86,BTC,0.236,BUY,28927.86,0,0,-0.6317,136.2784
90,2023-05-07T20:13:58.757Z,28934.93,BTC,0.372,SELL,28934.92,0,0.0244,-0.6073,136.3
91,2023-05-07T20:24:07.377Z,28931.34,BTC,0.299,BUY,28931.34,0,0,-0.6073,136.1965
92,2023-05-07T20:34:13.697Z,28922.45,BTC,0.337,SELL,28911.98,0,-0.0669,-0.6742,136.6248
93,2023-05-07T20:44:20.867Z,28936.03,BTC,0.429,BUY,28936.03,0,0,-0.6742,136.6754
94,2023-05-07T20:54:28.012Z,28888.68,BTC,0.262,SELL,28888.68,0,-0.1636,-0.8378,136.695
95,2023-05-07T21:04:36.245Z,28897.16,BTC,0.356,BUY,28897.16,0,0,-0.8378,136.6852
96,2023-05-07T21:14:41.689Z,28874.49,BTC,0.306,SELL,28874.49,0,-0.0785,-0.9163,136.6664
97,2023-05-07T21:24:49.956Z,28877.05,BTC,0.328,BUY,28877.05,0,0,-0.9163,136.681
98,2023-05-07T21:34:56.727Z,28924.24,BTC,0.593,SELL,28924.24,0,0.1634,-0.7529,136.7076
99,2023-05-07T21:45:05.208Z,28813.67,BTC,0.523,BUY,28816.46,0,0,-0.7529,136.554
100,2023-05-07T21:55:11.332Z,28804.74,BTC,0.187,SELL,28809.59,0,-0.0238,-0.7767,136.4574
101,2023-05-07T22:05:18.444Z,28785.68,BTC,0.024,BUY,28801.43,0,0,-0.7767,136.0116
102,2023-05-07T22:15:24.174Z,28770.19,BTC,-0.105,SELL,28770.18,0,-0.1085,-0.8852,135.6729
103,2023-05-07T22:25:34.381Z,28820.68,BTC,-0.042,BUY,28820.69,0,0,-0.8852,136.3305
104,2023-05-07T22:35:40.886Z,28792.49,BTC,-0.1,SELL,28792.5,0,-0.0978,-0.983,136.2852
105,2023-05-07T22:45:50.128Z,28757.53,BTC,-0.312,BUY,28757.53,0,0,-0.983,136.2585
106,2023-05-07T22:55:56.415Z,28779.91,BTC,-0.203,SELL,28779.91,0,0.0778,-0.9052,136.3204
107,2023-05-07T23:06:07.175Z,28779.43,BTC,-0.183,BUY,28779.42,0,0,-0.9052,135.8794
108,2023-05-07T23:16:15.019Z,28768.28,BTC,-0.298,SELL,28767.14,0,-0.0427,-0.9479,135.8121
109,2023-05-07T23:26:23.906Z,28742.62,BTC,-0.281,BUY,28742.62,0,0,-0.9479,135.9137
110,2023-05-07T23:36:31.482Z,28778.09,BTC,-0.155,SELL,28778.09,0,0.1234,-0.8245,135.9454
111,2023-05-07T23:46:39.423Z,28601.58,BTC,-0.757,BUY,28602,0,0,-0.8245,135.6569
112,2023-05-07T23:56:47.552Z,28450.32,BTC,-1.384,SELL,28455.36,0,-0.5127,-1.3372,134.3958
113,2023-05-08T00:06:56.640Z,28456.67,BTC,-1.386,BUY,28449.67,0,0,-1.3372,134.5269
114,2023-05-08T00:17:03.151Z,28516.67,BTC,-1.096,SELL,28520.01,0,0.2472,-1.0899,135.2622
115,2023-05-08T00:27:10.712Z,28619.63,BTC,-0.676,BUY,28619.63,0,0,-1.0899,135.2598
116,2023-05-08T00:37:17.661Z,28566.25,BTC,-0.898,SELL,28566.25,0,-0.1865,-1.2764,135.1531
117,2023-05-08T00:47:25.902Z,28576.49,BTC,-1.121,BUY,28576.49,0,0,-1.2764,135.1933
118,2023-05-08T00:57:31.906Z,28542.57,BTC,-1.297,SELL,28542.57,0,-0.1187,-1.3951,135.1422
119,2023-05-08T01:07:41.201Z,28552.01,BTC,-0.911,BUY,28552.01,0,0,-1.3951,135.0677
120,2023-05-08T01:17:47.079Z,28529.32,BTC,-1.103,SELL,28529.33,0,-0.0794,-1.4746,135.0753
121,2023-05-08T01:27:54.689Z,28460,BTC,-2.174,BUY,28460,0,0,-1.4746,134.3402
122,2023-05-08T01:38:01.704Z,28547.93,BTC,-1.579,SELL,28547.94,0,0.309,-1.1656,134.979
123,2023-05-08T01:48:09.620Z,28139.78,BTC,-2.722,BUY,28145.06,0,0,-1.1656,132.1894
124,2023-05-08T01:58:15.747Z,28189.98,BTC,-2.35,SELL,28189.3,0,0.1572,-1.0084,132.0833
125,2023-05-08T02:08:23.080Z,28176.69,BTC,-2.571,BUY,28176.47,0,0,-1.0084,131.9271
126,2023-05-08T02:18:30.468Z,28262.27,BTC,-1.962,SELL,28262.26,0,0.3045,-0.7039,132.0657
127,2023-05-08T02:28:38.548Z,28230.45,BTC,-2.283,BUY,28230.44,0,0,-0.7039,132.3356
128,2023-05-08T02:38:48.392Z,28231.81,BTC,-2.288,SELL,28227.39,0,-0.0108,-0.7147,132.2485
129,2023-05-08T02:48:57.669Z,28249.37,BTC,-2.127,BUY,28249.36,0,0,-0.7147,132.82
130,2023-05-08T02:59:04.758Z,28300.01,BTC,-1.79,SELL,28300,0,0.1793,-0.5354,132.5513
131,2023-05-08T03:09:13.598Z,28241.06,BTC,-2.013,BUY,28241.07,0,0,-0.5354,132.5479
132,2023-05-08T03:19:20.019Z,28217.59,BTC,-2.037,SELL,28217.59,0,-0.0831,-0.6186,132.6141
133,2023-05-08T03:29:28.151Z,28158.87,BTC,-2.128,BUY,28158.86,0,0,-0.6186,132.2667
134,2023-05-08T03:39:35.484Z,28131.92,BTC,-2.178,SELL,28136.86,0,-0.0781,-0.6967,132.2199
135,2023-05-08T03:49:43.507Z,28156.58,BTC,-2.216,BUY,28156.56,0,0,-0.6967,132.9587
136,2023-05-08T03:59:50.247Z,28194.78,BTC,-2.097,SELL,28194.77,0,0.1357,-0.561,133.0659
137,2023-05-08T04:09:57.294Z,28176.49,BTC,-2.284,BUY,28170,0,0,-0.561,132.7028
138,2023-05-08T04:20:03.644Z,28192.42,BTC,-2.202,SELL,28192.43,0,0.0796,-0.4814,132.9174
139,2023-05-08T04:30:11.262Z,28179.51,BTC,-2.203,BUY,28179.51,0,0,-0.4814,132.8011
140,2023-05-08T04:40:17.496Z,28206.75,BTC,-2.077,SELL,28204.98,0,0.0904,-0.391,132.8502
141,2023-05-08T04:50:25.673Z,28169.94,BTC,-2.273,BUY,28169.93,0,0,-0.391,132.7663
