Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:11.420Z,28841.33,BTC,-1.794,BUY,28842.02,0,0,0,135.6607
2,2023-05-07T05:15:17.515Z,28846.81,BTC,-1.779,SELL,28846.81,0,0.0166,0.0166,135.6473
3,2023-05-07T05:18:24.409Z,28833.1,BTC,-1.835,BUY,28833.1,0,0,0.0166,135.6392
4,2023-05-07T05:21:32.509Z,28832.64,BTC,-1.822,SELL,28832.64,0,-0.0016,0.015,135.6353
5,2023-05-07T05:24:43.127Z,28826.06,BTC,-1.863,BUY,28826.07,0,0,0.015,136.034
6,2023-05-07T05:27:48.666Z,28852.31,BTC,-1.756,SELL,28852.31,0,0.091,0.106,136.0813
7,2023-05-07T05:30:57.543Z,28849.12,BTC,-1.8,BUY,28848.04,0,0,0.106,136.0715
8,2023-05-07T05:34:03.608Z,28894.07,BTC,-1.635,SELL,28896.69,0,0.1686,0.2747,136.0966
9,2023-05-07T05:37:12.098Z,28869.69,BTC,-1.699,BUY,28869.7,0,0,0.2747,136.1002
10,2023-05-07T05:40:18.415Z,28871.12,BTC,-1.736,SELL,28871.11,0,0.0049,0.2796,136.1029
11,2023-05-07T05:43:27.038Z,28881.25,BTC,-1.583,BUY,28881.25,0,0,0.2796,136.1454
12,2023-05-07T05:46:33.536Z,28903.71,BTC,-1.466,SELL,28910.64,0,0.1018,0.3813,136.1767
13,2023-05-07T05:49:42.446Z,28892.7,BTC,-1.615,BUY,28892.71,0,0,0.3813,136.1186
14,2023-05-07T05:52:48.322Z,28887.37,BTC,-1.648,SELL,28887.38,0,-0.0184,0.3629,136.0985
15,2023-05-07T05:55:55.949Z,28871.4,BTC,-1.63,BUY,28871.41,0,0,0.3629,136.0818
16,2023-05-07T05:59:03.334Z,28881.54,BTC,-1.539,SELL,28881.55,0,0.0351,0.398,136.0742
17,2023-05-07T06:02:12.023Z,28883.4,BTC,-1.561,BUY,28883.41,0,0,0.398,136.0972
18,2023-05-07T06:05:17.195Z,28875.89,BTC,-1.448,SELL,28875.89,0,-0.026,0.372,135.7435
19,2023-05-07T06:08:26.434Z,28895.04,BTC,-1.42,BUY,28895.03,0,0,0.372,135.9729
20,2023-05-07T06:11:33.507Z,28885.52,BTC,-1.582,SELL,28885.69,0,-0.0323,0.3396,135.9015
21,2023-05-07T06:14:41.967Z,28887.27,BTC,-1.644,BUY,28887.2,0,0,0.3396,135.9226
22,2023-05-07T06:17:48.877Z,28900.68,BTC,-1.607,SELL,28900.67,0,0.0466,0.3863,135.9355
23,2023-05-07T06:20:55.976Z,28924.26,BTC,-1.528,BUY,28924.26,0,0,0.3863,136.1062
24,2023-05-07T06:24:02.925Z,28917.25,BTC,-1.572,SELL,28917.26,0,-0.0242,0.3621,136.0754
25,2023-05-07T06:27:10.754Z,28906.72,BTC,-1.539,BUY,28906.71,0,0,0.3621,136.4286
26,2023-05-07T06:30:17.910Z,28874.29,BTC,-1.59,SELL,28874.3,0,-0.1121,0.25,135.9929
27,2023-05-07T06:33:24.503Z,28877.73,BTC,-1.598,BUY,28877.73,0,0,0.25,135.998
28,2023-05-07T06:36:31.513Z,28902.13,BTC,-1.342,SELL,28902.13,0,0.0845,0.3344,136.0121
29,2023-05-07T06:39:39.136Z,28903.73,BTC,-1.461,BUY,28903.73,0,0,0.3344,136.0362
30,2023-05-07T06:42:46.963Z,28916.73,BTC,-1.473,SELL,28916.73,0,0.045,0.3794,136.0684
31,2023-05-07T06:45:56.761Z,28935.74,BTC,-1.386,BUY,28935.64,0,0,0.3794,136.0805
32,2023-05-07T06:49:04.221Z,28926.43,BTC,-1.494,SELL,28926.43,0,-0.0318,0.3476,136.4715
33,2023-05-07T06:52:14.233Z,28931.61,BTC,-1.432,BUY,28931.62,0,0,0.3476,136.262
34,2023-05-07T06:55:20.509Z,28920.38,BTC,-1.505,SELL,28920.38,0,-0.0389,0.3087,136.2532
35,2023-05-07T06:58:29.395Z,28918.37,BTC,-1.571,BUY,28918.37,0,0,0.3087,136.2524
36,2023-05-07T07:01:36.198Z,28917.25,BTC,-1.561,SELL,28917.25,0,-0.0039,0.3049,136.2569
37,2023-05-07T07:04:43.583Z,28915.9,BTC,-1.561,BUY,28915.9,0,0,0.3049,136.2387
38,2023-05-07T07:07:48.845Z,28911.21,BTC,-1.606,SELL,28911.22,0,-0.0162,0.2887,136.2304
39,2023-05-07T07:10:59.604Z,28923.4,BTC,-1.529,BUY,28923.4,0,0,0.2887,136.1998
40,2023-05-07T07:14:05.945Z,28927.44,BTC,-1.547,SELL,28927.44,0,0.014,0.3027,136.2014
41,2023-05-07T07:17:13.964Z,28930.24,BTC,-1.581,BUY,28930.23,0,0,0.3027,136.4993
42,2023-05-07T07:20:20.922Z,28913.18,BTC,-1.617,SELL,28913.18,0,-0.0589,0.2437,136.4929
43,2023-05-07T07:23:29.835Z,28941.48,BTC,-1.521,BUY,28941.48,0,0,0.2437,136.5113
44,2023-05-07T07:26:38.590Z,28918.69,BTC,-1.625,SELL,28918.7,0,-0.0787,0.165,136.5238
45,2023-05-07T07:29:47.231Z,28900,BTC,-1.728,BUY,28900.01,0,0,0.165,136.5037
46,2023-05-07T07:32:53.441Z,28906.88,BTC,-1.69,SELL,28906.88,0,0.0238,0.1888,136.5053
47,2023-05-07T07:36:00.985Z,28917.1,BTC,-1.636,BUY,28917.1,0,0,0.1888,136.5138
48,2023-05-07T07:39:08.218Z,28924.12,BTC,-1.606,SELL,28924.64,0,0.0261,0.2149,136.5595
49,2023-05-07T07:42:15.503Z,28925.47,BTC,-1.574,BUY,28925.47,0,0,0.2149,136.5828
50,2023-05-07T07:45:21.206Z,28919.16,BTC,-1.595,SELL,28919.17,0,-0.0218,0.1931,136.5802
51,2023-05-07T07:48:28.500Z,28922.69,BTC,-1.541,BUY,28923.61,0,0,0.1931,136.5921
52,2023-05-07T07:51:34.831Z,28920.86,BTC,-1.537,SELL,28920.86,0,-0.0095,0.1836,136.5855
53,2023-05-07T07:54:41.899Z,28925.2,BTC,-1.565,BUY,28925.2,0,0,0.1836,136.6016
54,2023-05-07T07:57:50.760Z,28913.12,BTC,-1.556,SELL,28913.13,0,-0.0417,0.1418,136.5805
55,2023-05-07T08:00:59.887Z,28922.53,BTC,-1.499,BUY,28919.09,0,0,0.1418,136.6013
56,2023-05-07T08:04:05.909Z,28943.76,BTC,-1.131,SELL,28943.75,0,0.0853,0.2271,136.6535
57,2023-05-07T08:07:15.739Z,28941.76,BTC,-0.988,BUY,28941.76,0,0,0.2271,136.6346
58,2023-05-07T08:10:22.301Z,28945.99,BTC,-1.008,SELL,28945.99,0,0.0146,0.2417,136.3205
59,2023-05-07T08:13:30.536Z,28939.01,BTC,-1.032,BUY,28940.07,0,0,0.2417,136.6717
60,2023-05-07T08:16:36.275Z,28938.78,BTC,-1.046,SELL,28938.39,0,-0.0058,0.2359,136.6601
61,2023-05-07T08:19:45.402Z,28936.64,BTC,-1.116,BUY,28936.64,0,0,0.2359,136.6076
62,2023-05-07T08:22:53.105Z,28926.42,BTC,-1.27,SELL,28926.42,0,-0.0353,0.2006,136.3092
63,2023-05-07T08:26:02.657Z,28932.78,BTC,-1.256,BUY,28928.84,0,0,0.2006,136.2703
64,2023-05-07T08:29:08.907Z,28932.01,BTC,-1.288,SELL,28932,0,0.0109,0.2115,136.2984
65,2023-05-07T08:32:17.613Z,28904.25,BTC,-1.439,BUY,28904.25,0,0,0.2115,136.2628
66,2023-05-07T08:35:23.967Z,28887.91,BTC,-1.389,SELL,28887.92,0,-0.0565,0.155,136.1893
67,2023-05-07T08:38:33.858Z,28857.16,BTC,-1.648,BUY,28843.77,0,0,0.155,136.117
68,2023-05-07T08:41:40.409Z,28854.33,BTC,-1.629,SELL,28854.32,0,0.0366,0.1916,136.16
69,2023-05-07T08:44:49.298Z,28854.29,BTC,-1.651,BUY,28854.29,0,0,0.1916,135.8291
70,2023-05-07T08:47:55.176Z,28854.17,BTC,-1.563,SELL,28854.18,0,-0.0004,0.1912,135.8299
71,2023-05-07T08:51:03.239Z,28863.16,BTC,-1.567,BUY,28863.16,0,0,0.1912,135.8274
72,2023-05-07T08:54:09.945Z,28866.02,BTC,-1.56,SELL,28866.01,0,0.0099,0.2011,136.0362
73,2023-05-07T08:57:18.103Z,28874.19,BTC,-1.604,BUY,28874.19,0,0,0.2011,136.08
74,2023-05-07T09:00:24.153Z,28861.89,BTC,-1.569,SELL,28861.88,0,-0.0426,0.1585,136.0421
75,2023-05-07T09:03:32.559Z,28844.99,BTC,-1.711,BUY,28844.99,0,0,0.1585,136.0618
76,2023-05-07T09:06:39.505Z,28846.84,BTC,-1.631,SELL,28846.83,0,0.0064,0.1648,136.0817
77,2023-05-07T09:09:48.321Z,28813.43,BTC,-1.795,BUY,28813.43,0,0,0.1648,136.0688
78,2023-05-07T09:12:55.398Z,28814.3,BTC,-1.662,SELL,28814.29,0,0.003,0.1678,136.0943
