Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:08.805Z,28842.02,BTC,-1.794,BUY,28842.02,0,0,0,135.6586
2,2023-05-07T05:21:15.063Z,28832.64,BTC,-1.822,SELL,28832.64,0,-0.0325,-0.0325,135.6357
3,2023-05-07T05:30:22.806Z,28842.35,BTC,-1.797,BUY,28842.35,0,0,-0.0325,136.0718
4,2023-05-07T05:39:29.276Z,28871.33,BTC,-1.736,SELL,28871.34,0,0.1005,0.068,136.1016
5,2023-05-07T05:48:36.983Z,28889.51,BTC,-1.569,BUY,28893.1,0,0,0.068,136.1364
6,2023-05-07T05:57:43.879Z,28870.89,BTC,-1.561,SELL,28880.23,0,-0.0445,0.0234,136.1098
7,2023-05-07T06:06:51.884Z,28874.8,BTC,-1.52,BUY,28874.78,0,0,0.0234,135.9366
8,2023-05-07T06:15:57.931Z,28894.3,BTC,-1.603,SELL,28894.3,0,0.0676,0.091,135.9318
9,2023-05-07T06:25:07.059Z,28924.38,BTC,-1.547,BUY,28930.21,0,0,0.091,136.1126
10,2023-05-07T06:34:14.013Z,28882.27,BTC,-1.411,SELL,28882.27,0,-0.1657,-0.0747,135.9959
11,2023-05-07T06:43:22.369Z,28921.53,BTC,-1.421,BUY,28921.53,0,0,-0.0747,136.0706
12,2023-05-07T06:52:28.697Z,28931.85,BTC,-1.428,SELL,28931.86,0,0.0357,-0.0389,136.2616
13,2023-05-07T07:01:36.089Z,28917.24,BTC,-1.561,BUY,28917.25,0,0,-0.0389,136.2566
14,2023-05-07T07:10:41.698Z,28920.28,BTC,-1.568,SELL,28920.28,0,0.0105,-0.0285,136.1988
15,2023-05-07T07:19:49.436Z,28914.01,BTC,-1.612,BUY,28914.01,0,0,-0.0285,136.4945
16,2023-05-07T07:28:56.053Z,28902,BTC,-1.713,SELL,28902,0,-0.0415,-0.07,136.5031
17,2023-05-07T07:38:04.123Z,28933.18,BTC,-1.57,BUY,28934.05,0,0,-0.07,136.5837
18,2023-05-07T07:47:09.925Z,28918.71,BTC,-1.563,SELL,28918.72,0,-0.053,-0.123,136.5818
19,2023-05-07T07:56:17.265Z,28912.93,BTC,-1.587,BUY,28912.93,0,0,-0.123,136.5675
20,2023-05-07T08:05:23.612Z,28946.29,BTC,-0.855,SELL,28946.3,0,0.1154,-0.0076,136.6401
21,2023-05-07T08:14:30.430Z,28936.45,BTC,-1.073,BUY,28936.46,0,0,-0.0076,136.6582
22,2023-05-07T08:23:36.776Z,28927.8,BTC,-1.259,SELL,28927.78,0,-0.03,-0.0376,136.3094
23,2023-05-07T08:32:45.206Z,28900.37,BTC,-1.434,BUY,28900.38,0,0,-0.0376,136.2661
24,2023-05-07T08:41:52.159Z,28857.45,BTC,-1.631,SELL,28854.32,0,-0.1594,-0.1969,136.1504
25,2023-05-07T08:50:59.527Z,28863.16,BTC,-1.598,BUY,28863.16,0,0,-0.1969,135.8276
26,2023-05-07T09:00:06.356Z,28857.06,BTC,-1.613,SELL,28857.07,0,-0.0211,-0.218,136.0356
27,2023-05-07T09:09:15.256Z,28818.64,BTC,-1.771,BUY,28818.63,0,0,-0.218,136.0668
28,2023-05-07T09:18:21.609Z,28799.83,BTC,-1.698,SELL,28799.84,0,-0.0652,-0.2832,135.9514
29,2023-05-07T09:27:30.100Z,28849.62,BTC,-1.61,BUY,28849.65,0,0,-0.2832,136.4539
30,2023-05-07T09:36:37.970Z,28868.58,BTC,-1.464,SELL,28868.77,0,0.0663,-0.217,136.4695
31,2023-05-07T09:45:46.338Z,28800.27,BTC,-1.821,BUY,28800.27,0,0,-0.217,135.8994
32,2023-05-07T09:54:53.378Z,28815.51,BTC,-1.721,SELL,28815.51,0,0.0529,-0.1641,135.8277
33,2023-05-07T10:04:02.005Z,28825.12,BTC,-1.668,BUY,28825.12,0,0,-0.1641,135.865
34,2023-05-07T10:13:09.156Z,28804.64,BTC,-1.631,SELL,28804.63,0,-0.0711,-0.2351,136.2523
35,2023-05-07T10:22:17.655Z,28818.73,BTC,-1.498,BUY,28818.73,0,0,-0.2351,136.2893
36,2023-05-07T10:31:25.098Z,28830.15,BTC,-1.348,SELL,28830.15,0,0.0396,-0.1955,136.2908
37,2023-05-07T10:40:34.237Z,28830.52,BTC,-1.395,BUY,28830.51,0,0,-0.1955,136.2573
38,2023-05-07T10:49:41.456Z,28831.19,BTC,-1.386,SELL,28831.19,0,0.0024,-0.1931,136.2831
39,2023-05-07T10:58:49.932Z,28851.59,BTC,-1.307,BUY,28851.59,0,0,-0.1931,136.3251
40,2023-05-07T11:07:57.927Z,28830.13,BTC,-1.397,SELL,28830.12,0,-0.0744,-0.2676,136.3054
41,2023-05-07T11:17:06.760Z,28822.08,BTC,-1.439,BUY,28822.07,0,0,-0.2676,136.2744
42,2023-05-07T11:26:14.643Z,28758.33,BTC,-1.644,SELL,28758.34,0,-0.2211,-0.4887,135.7595
43,2023-05-07T11:35:24.734Z,28780.51,BTC,-1.556,BUY,28777.9,0,0,-0.4887,135.7394
44,2023-05-07T11:44:32.386Z,28846.17,BTC,-1.399,SELL,28844.32,0,0.2308,-0.2579,135.7443
45,2023-05-07T11:53:40.547Z,28833.1,BTC,-1.42,BUY,28833.12,0,0,-0.2579,135.7153
46,2023-05-07T12:02:46.771Z,28853.03,BTC,-1.385,SELL,28853.03,0,0.0691,-0.1888,135.9787
47,2023-05-07T12:11:54.860Z,28872.43,BTC,-1.237,BUY,28872.42,0,0,-0.1888,136.0415
48,2023-05-07T12:21:02.517Z,28897.1,BTC,-1.094,SELL,28897.11,0,0.0855,-0.1033,136.1216
49,2023-05-07T12:30:10.718Z,28897.55,BTC,-1.217,BUY,28890,0,0,-0.1033,136.0148
50,2023-05-07T12:39:19.004Z,28901.28,BTC,-0.722,SELL,28901.29,0,0.0391,-0.0642,135.9845
51,2023-05-07T12:48:27.897Z,28925.77,BTC,-0.519,BUY,28919.59,0,0,-0.0642,136.4187
52,2023-05-07T12:57:35.097Z,28925,BTC,-0.49,SELL,28925,0,0.0187,-0.0455,136.2645
53,2023-05-07T13:06:42.584Z,28894.48,BTC,-0.57,BUY,28894.48,0,0,-0.0455,136.0608
54,2023-05-07T13:15:48.642Z,28924.44,BTC,-0.431,SELL,28924.44,0,0.1037,0.0582,136.084
55,2023-05-07T13:24:56.348Z,28908.8,BTC,-0.333,BUY,28908.8,0,0,0.0582,136.0644
56,2023-05-07T13:34:02.765Z,28937.98,BTC,-0.265,SELL,28937.98,0,0.1009,0.1591,136.1575
