Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:09.190Z,28842.02,BTC,-1.794,BUY,28842.02,0,0,0,135.6586
2,2023-05-07T05:20:18.225Z,28834.78,BTC,-1.85,SELL,28834.78,0,-0.0251,-0.0251,135.6451
3,2023-05-07T05:28:26.047Z,28837.86,BTC,-1.805,BUY,28837.92,0,0,-0.0251,136.0756
4,2023-05-07T05:36:32.558Z,28869.69,BTC,-1.698,SELL,28869.98,0,0.1112,0.0861,136.1037
5,2023-05-07T05:44:40.367Z,28892.08,BTC,-1.534,BUY,28894.86,0,0,0.0861,136.1602
6,2023-05-07T05:52:45.587Z,28887.38,BTC,-1.648,SELL,28887.37,0,-0.0259,0.0601,136.0985
7,2023-05-07T06:00:54.216Z,28897.88,BTC,-1.521,BUY,28897.88,0,0,0.0601,136.1067
8,2023-05-07T06:09:01.295Z,28896.9,BTC,-1.436,SELL,28896.9,0,-0.0034,0.0568,135.9409
9,2023-05-07T06:17:09.353Z,28900.11,BTC,-1.593,BUY,28900.1,0,0,0.0568,135.9348
10,2023-05-07T06:25:15.180Z,28917.09,BTC,-1.562,SELL,28917.08,0,0.0588,0.1155,136.0944
11,2023-05-07T06:33:23.459Z,28877.73,BTC,-1.598,BUY,28877.73,0,0,0.1155,135.9985
12,2023-05-07T06:41:30.421Z,28909.65,BTC,-1.484,SELL,28909.65,0,0.1105,0.226,136.042
13,2023-05-07T06:49:37.937Z,28927.79,BTC,-1.5,BUY,28926.7,0,0,0.226,136.4731
14,2023-05-07T06:57:43.833Z,28918.37,BTC,-1.557,SELL,28918.38,0,-0.0288,0.1973,136.2518
15,2023-05-07T07:05:51.878Z,28915.9,BTC,-1.551,BUY,28915.9,0,0,0.1973,136.236
16,2023-05-07T07:13:57.917Z,28927.43,BTC,-1.547,SELL,28927.43,0,0.0399,0.2372,136.2008
17,2023-05-07T07:22:05.729Z,28919,BTC,-1.594,BUY,28914.02,0,0,0.2372,136.477
18,2023-05-07T07:30:14.271Z,28897.69,BTC,-1.742,SELL,28897.7,0,-0.0564,0.1807,136.5003
19,2023-05-07T07:38:23.674Z,28928.87,BTC,-1.585,BUY,28928.87,0,0,0.1807,136.5668
20,2023-05-07T07:46:30.220Z,28918.32,BTC,-1.572,SELL,28918.22,0,-0.0368,0.1439,136.5801
21,2023-05-07T07:54:38.865Z,28925.2,BTC,-1.565,BUY,28925.2,0,0,0.1439,136.6013
22,2023-05-07T08:02:45.666Z,28943.77,BTC,-1.184,SELL,28943.77,0,0.0642,0.2081,136.6519
